CustomerID,Tenure,Contract,MonthlyCharges,Churn
CUST06501,2,Month-to-Month,42.04,Yes
CUST02945,24,Month-to-Month,43.19,Yes
CUST02025,6,Month-to-Month,83.35,No
CUST00264,12,Month-to-Month,44.46,No
CUST04351,24,Month-to-Month,35.01,Yes
CUST03425,36,One Year,44.53,No
CUST06749,72,One Year,64.51,No
CUST06216,24,Month-to-Month,41.56,No
CUST06363,2,Month-to-Month,74.45,No
CUST05590,18,One Year,37.06,No
CUST00133,1,One Year,73.9,Yes
CUST06407,3,One Year,72.07,No
CUST04280,6,One Year,70.39,Yes
CUST02399,18,Month-to-Month,85.73,No
CUST05713,6,One Year,59.59,Yes
CUST03255,3,Two Year,45.93,No
CUST06027,36,Month-to-Month,89.65,No
CUST02265,18,Two Year,41.48,No
CUST01942,3,Month-to-Month,81.14,No
CUST00764,24,One Year,40.18,No
CUST03177,18,One Year,75.9,Yes
CUST03046,24,One Year,44.59,No
CUST03065,18,Month-to-Month,75.05,Yes
CUST00102,18,Month-to-Month,78.24,Yes
CUST06238,18,One Year,47.06,No
CUST01372,2,Month-to-Month,62.07,Yes
CUST00626,3,One Year,68.11,Yes
CUST03917,24,Month-to-Month,66.28,No
CUST01076,6,Month-to-Month,86.17,No
CUST03257,24,One Year,31.77,Yes
CUST02317,3,Two Year,51.85,No
CUST00562,2,One Year,48.53,No
CUST05445,1,Month-to-Month,68.96,No
CUST05104,3,One Year,76.62,Yes
CUST03008,1,One Year,45.94,No
CUST01116,12,Month-to-Month,85.72,No
CUST03909,12,Two Year,70.39,No
CUST02154,36,Month-to-Month,35.57,No
CUST06224,3,Two Year,44.57,No
CUST05292,2,Month-to-Month,62.0,No
CUST03510,1,Month-to-Month,86.4,No
CUST01288,3,Month-to-Month,87.4,No
CUST00246,48,Month-to-Month,77.97,No
CUST01796,1,Month-to-Month,43.24,Yes
CUST05254,1,Month-to-Month,77.2,Yes
CUST03033,24,Two Year,36.88,No
